setting,delta,valid_cov,mu1,mu2,cov11,cov12,cov22,pval_mean,pval_std,pval_base_mean,pval_base_std,pval_recon_mean,pval_recon_std,pval_uniform_mean,pval_uniform_std,ks_p_prop_mean,ks_p_prop_std,ks_p_base_mean,ks_p_base_std,ks_p_recon_mean,ks_p_recon_std,ks_p_uniform_mean,ks_p_uniform_std,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std
df3,0.30000000000000004,True,-1.0,0.30000000000000004,1.0,0.0,1.0,7.361097338006426e-08,5.159099694747888e-07,2.7858195588147157e-14,1.9583450123101104e-13,1.0,0.0,0.3312447877236898,0.2487521829629072,7.361097338006426e-08,5.159099694747888e-07,2.7858195588147157e-14,1.9583450123101104e-13,1.0,0.0,0.3312447877236898,0.2487521829629072,0.7985488164424897,0.005158845911958854,0.7959665977954864,0.004518326937835008
df3,0.35000000000000003,True,-1.0,0.35000000000000003,1.0,0.0,1.0,6.2246273972431335e-12,2.642148628084847e-11,1.1593114929079052e-23,6.257390230526698e-23,1.0,0.0,0.3142640068948472,0.2667782085624466,6.2246273972431335e-12,2.642148628084847e-11,1.1593114929079052e-23,6.257390230526698e-23,1.0,0.0,0.3142640068948472,0.2667782085624466,0.798813796043396,0.005148969504495716,0.7992409658432007,0.005277243870308182
df3,0.4,True,-1.0,0.4,1.0,0.0,1.0,7.099821085986656e-14,4.1396468172154254e-13,7.057728130525633e-29,3.781559491412585e-28,1.0,0.0,0.17326394686356233,0.21723557117208095,7.099821085986656e-14,4.1396468172154254e-13,7.057728130525633e-29,3.781559491412585e-28,1.0,0.0,0.17326394686356233,0.21723557117208095,0.7977443158626556,0.005250340761416647,0.7997659015655517,0.004951071623808878
df3,0.45,True,-1.0,0.45,1.0,0.0,1.0,2.5052573722568174e-18,1.1040580782319874e-17,1.29688118000084e-29,9.170331181442932e-29,1.0,0.0,0.16488379719596363,0.192429594331728,2.5052573722568174e-18,1.1040580782319874e-17,1.29688118000084e-29,9.170331181442932e-29,1.0,0.0,0.16488379719596363,0.192429594331728,0.7970387697219848,0.004852629917955087,0.798613177537918,0.005621048647723205
df3,0.5,True,-1.0,0.5,1.0,0.0,1.0,1.8631524458308347e-16,1.3174469228804054e-15,1.4910625716783045e-48,1.0073291548738115e-47,1.0,0.0,0.12572546784520355,0.16388674830596658,1.8631524458308347e-16,1.3174469228804054e-15,1.4910625716783045e-48,1.0073291548738115e-47,1.0,0.0,0.12572546784520355,0.16388674830596658,0.7977185642719269,0.005965173916372363,0.7990401256084442,0.005822782884622302
df3,0.55,True,-1.0,0.55,1.0,0.0,1.0,1.186873997131604e-26,5.652132416077894e-26,1.0910846713201128e-53,7.715013015523302e-53,1.0,0.0,0.09999112939424469,0.12604529635912648,1.186873997131604e-26,5.652132416077894e-26,1.0910846713201128e-53,7.715013015523302e-53,1.0,0.0,0.09999112939424469,0.12604529635912648,0.7989453828334808,0.005537532759215355,0.7999542629718781,0.004901146832593494
df3,0.6000000000000001,True,-1.0,0.6000000000000001,1.0,0.0,1.0,1.6335218351557865e-29,1.1489198848159496e-28,7.894337016242542e-67,5.567680112858125e-66,1.0,0.0,0.06304709369219115,0.11915885222840966,1.6335218351557865e-29,1.1489198848159496e-28,7.894337016242542e-67,5.567680112858125e-66,1.0,0.0,0.06304709369219115,0.11915885222840966,0.7987261962890625,0.0063406849869531755,0.7985328006744384,0.0056846435911948965
df3,0.65,True,-1.0,0.65,1.0,0.0,1.0,1.1761835197782199e-35,7.468251248041495e-35,1.1928293679754206e-80,8.403893193362181e-80,1.0,0.0,0.038888592194727324,0.07213843320884977,1.1761835197782199e-35,7.468251248041495e-35,1.1928293679754206e-80,8.403893193362181e-80,1.0,0.0,0.038888592194727324,0.07213843320884977,0.800167144536972,0.006072531443532991,0.8000897777080536,0.0048076867383672044
df3,0.7000000000000001,True,-1.0,0.7000000000000001,1.0,0.0,1.0,3.61796043186989e-42,1.4585698333423912e-41,1.0088063110960822e-90,6.059580394870938e-90,1.0,0.0,0.018247349635618873,0.04301964854591786,3.61796043186989e-42,1.4585698333423912e-41,1.0088063110960822e-90,6.059580394870938e-90,1.0,0.0,0.018247349635618873,0.04301964854591786,0.7996256232261658,0.004840033423067492,0.7992185890674591,0.006753331927135705
df3,0.75,True,-1.0,0.75,1.0,0.0,1.0,8.520219245553066e-38,6.024702974913542e-37,1.796805880575597e-111,9.556237921928524e-111,1.0,0.0,0.01482540165139799,0.03789753909550511,8.520219245553066e-38,6.024702974913542e-37,1.796805880575597e-111,9.556237921928524e-111,1.0,0.0,0.01482540165139799,0.03789753909550511,0.7991835236549377,0.005168805376553636,0.8002321231365204,0.005759841452500241
df3,0.8,True,-1.0,0.8,1.0,0.0,1.0,1.424928192566096e-48,1.0075256876931058e-47,1.1529599525308606e-126,7.18190984114385e-126,1.0,0.0,0.00471575136725654,0.01077733258307415,1.424928192566096e-48,1.0075256876931058e-47,1.1529599525308606e-126,7.18190984114385e-126,1.0,0.0,0.00471575136725654,0.01077733258307415,0.7978818130493164,0.005226003610062293,0.8008574867248535,0.005048660423037397
df3,0.8500000000000001,True,-1.0,0.8500000000000001,1.0,0.0,1.0,1.1981633352313303e-58,8.408659050122177e-58,1.2512476173914813e-136,8.847320632364503e-136,1.0,0.0,0.006970685523977251,0.0185861823896804,1.1981633352313303e-58,8.408659050122177e-58,1.2512476173914813e-136,8.847320632364503e-136,1.0,0.0,0.006970685523977251,0.0185861823896804,0.7971646296977997,0.004494223416220855,0.8009501624107361,0.005390996295490702
