setting,delta,valid_cov,mu1,mu2,cov11,cov12,cov22,pval_mean,pval_std,pval_base_mean,pval_base_std,pval_recon_mean,pval_recon_std,pval_uniform_mean,pval_uniform_std,pval_label_mean,pval_label_std,ks_p_prop_mean,ks_p_prop_std,ks_p_base_mean,ks_p_base_std,ks_p_recon_mean,ks_p_recon_std,ks_p_uniform_mean,ks_p_uniform_std,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std
df1,0.5,True,0.0,0.5,1.0,0.0,1.0,6.415653861419816e-26,2.3957643697103636e-25,2.388527599214289e-07,1.457064379625648e-06,0.00010591351016132155,0.00035685047997249597,0.001528073174223786,0.00979396490171391,0.9798482468832441,0.03889466107782936,6.415653861419816e-26,2.3957643697103636e-25,2.388527599214289e-07,1.457064379625648e-06,0.00010591351016132155,0.00035685047997249597,0.001528073174223786,0.00979396490171391,0.9185917162895203,0.005607923017498401,0.9176976561546326,0.006054054431938968
df1,0.55,True,0.0,0.55,1.0,0.0,1.0,3.783439751078294e-29,2.5829116176934325e-28,1.1313606550509526e-07,6.607364079213347e-07,7.351627887398039e-06,3.1221197108912564e-05,0.0001223934170774834,0.0004554457291086044,0.9602933460837585,0.08901992393319906,3.783439751078294e-29,2.5829116176934325e-28,1.1313606550509526e-07,6.607364079213347e-07,7.351627887398039e-06,3.1221197108912564e-05,0.0001223934170774834,0.0004554457291086044,0.9176411724090576,0.006018265552006141,0.9152778136730194,0.005758043305832666
df1,0.6000000000000001,True,0.0,0.6000000000000001,1.0,0.0,1.0,5.131313647148999e-32,3.628383278407239e-31,1.016152000449247e-10,6.917995493165633e-10,1.8210215790431496e-06,5.452662153464922e-06,2.1202677929813006e-05,0.0001291968891432438,0.9644069668778914,0.08654938385554228,5.131313647148999e-32,3.628383278407239e-31,1.016152000449247e-10,6.917995493165633e-10,1.8210215790431496e-06,5.452662153464922e-06,2.1202677929813006e-05,0.0001291968891432438,0.918978990316391,0.005834362178933899,0.916293877363205,0.005914910590245511
df1,0.65,True,0.0,0.65,1.0,0.0,1.0,3.775661663515998e-43,2.6610635200393568e-42,2.5977904670186708e-14,1.6935755950659626e-13,1.1558404170787757e-07,5.712995765606365e-07,6.79060773093597e-07,3.1898600023540595e-06,0.9827779285264043,0.032865046159213,3.775661663515998e-43,2.6610635200393568e-42,2.5977904670186708e-14,1.6935755950659626e-13,1.1558404170787757e-07,5.712995765606365e-07,6.79060773093597e-07,3.1898600023540595e-06,0.919025684595108,0.005250658802327556,0.9178049802780152,0.005786177703831762
df1,0.7000000000000001,True,0.0,0.7000000000000001,1.0,0.0,1.0,3.8313670886477027e-48,1.7656717460512445e-47,8.811278703564686e-16,3.633856012911462e-15,2.1333396463620857e-08,1.0733764033272363e-07,1.4862602688136572e-07,4.2907335590206077e-07,0.9722158743044922,0.05876176802439968,3.8313670886477027e-48,1.7656717460512445e-47,8.811278703564686e-16,3.633856012911462e-15,2.1333396463620857e-08,1.0733764033272363e-07,1.4862602688136572e-07,4.2907335590206077e-07,0.9184939408302307,0.0060879253536223945,0.9165475130081177,0.005844000315236952
df1,0.75,True,0.0,0.75,1.0,0.0,1.0,3.707645007804694e-51,2.6216481372716253e-50,4.129961358130977e-19,1.418480902930985e-18,3.5022287740259365e-08,2.4542032239922414e-07,6.840613639252441e-08,2.399415337663977e-07,0.9577677420521868,0.11250749433109004,3.707645007804694e-51,2.6216481372716253e-50,4.129961358130977e-19,1.418480902930985e-18,3.5022287740259365e-08,2.4542032239922414e-07,6.840613639252441e-08,2.399415337663977e-07,0.9185182535648346,0.005856613482133922,0.9165760111808777,0.007220562339214903
df1,0.8,True,0.0,0.8,1.0,0.0,1.0,7.255518590478968e-58,5.101727345175925e-57,1.4771363273207307e-20,1.005708297013731e-19,4.371474283824265e-09,3.063983444553046e-08,2.226516103785643e-06,1.559457212868685e-05,0.9427519761937622,0.11617352971247873,7.255518590478968e-58,5.101727345175925e-57,1.4771363273207307e-20,1.005708297013731e-19,4.371474283824265e-09,3.063983444553046e-08,2.226516103785643e-06,1.559457212868685e-05,0.9184283685684204,0.005492192626410704,0.9155255830287934,0.007166303691232098
df1,0.8500000000000001,True,0.0,0.8500000000000001,1.0,0.0,1.0,4.810075135900184e-71,2.8534819773811466e-70,3.3062797300009664e-23,2.33715270890913e-22,9.903451651986655e-11,6.92035525913908e-10,4.9297483345912096e-08,3.422486794310624e-07,0.9681163535505113,0.0672927915944784,4.810075135900184e-71,2.8534819773811466e-70,3.3062797300009664e-23,2.33715270890913e-22,9.903451651986655e-11,6.92035525913908e-10,4.9297483345912096e-08,3.422486794310624e-07,0.9179546952247619,0.006727039773874076,0.9170409500598907,0.006459016158583277
df1,0.9,True,0.0,0.9,1.0,0.0,1.0,4.904359362709932e-81,2.524213908533697e-80,2.988910923998486e-28,1.2745572795845296e-27,1.120313342687369e-14,6.561175827234357e-14,1.2129367204084988e-10,8.44424950643256e-10,0.9737629439456472,0.04048744361792444,4.904359362709932e-81,2.524213908533697e-80,2.988910923998486e-28,1.2745572795845296e-27,1.120313342687369e-14,6.561175827234357e-14,1.2129367204084988e-10,8.44424950643256e-10,0.9178086698055268,0.006030685162436999,0.9161472141742706,0.005629728130432924
df1,0.9500000000000001,True,0.0,0.9500000000000001,1.0,0.0,1.0,3.5953849411297243e-91,2.406942917713949e-90,2.3749979416151645e-35,1.656522883421383e-34,2.9151429290476566e-16,1.0221604089830569e-15,4.641604857731395e-11,3.0902956132519827e-10,0.9864406853008617,0.022808780827283274,3.5953849411297243e-91,2.406942917713949e-90,2.3749979416151645e-35,1.656522883421383e-34,2.9151429290476566e-16,1.0221604089830569e-15,4.641604857731395e-11,3.0902956132519827e-10,0.9179791688919068,0.0054925900860884275,0.9175176727771759,0.005168628074902758
